# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  F19  Mg24  Mg25  Mg26  Al27  Si28  Si29  Si30  K39  K41
1.244597E-02  8.122923E+06  4.323063E+06  3.576607E+05  8.056858E+05  4.556187E+04  8.011296E+04  1.260545E+05  4.298004E+05  3.341204E+04  1.898411E+04  1.041469E+06  9.871740E+03
1.273587E-02  7.871606E+06  4.216124E+06  3.613926E+05  7.472739E+05  3.673293E+04  8.088665E+04  1.239272E+05  4.452476E+05  3.116733E+04  1.743886E+04  1.008486E+06  1.187327E+04
1.303253E-02  7.649278E+06  4.186870E+06  3.593304E+05  7.871911E+05  4.133569E+04  6.961800E+04  1.254574E+05  4.507041E+05  3.082047E+04  1.849228E+04  9.757398E+05  1.124041E+04
1.333610E-02  7.591383E+06  4.049045E+06  3.430012E+05  7.834460E+05  3.791439E+04  7.972653E+04  1.098454E+05  4.326493E+05  2.870155E+04  2.019739E+04  9.783331E+05  1.204756E+04
1.364674E-02  7.352444E+06  4.025439E+06  3.338085E+05  7.174805E+05  4.155292E+04  6.821605E+04  1.173870E+05  4.290339E+05  2.770195E+04  1.454352E+04  9.661055E+05  1.315843E+04
1.396461E-02  7.228396E+06  3.921289E+06  3.353467E+05  7.471700E+05  4.060706E+04  6.767844E+04  1.147150E+05  3.861055E+05  2.842494E+04  1.522765E+04  9.515589E+05  1.387408E+04
1.428989E-02  7.026159E+06  3.790693E+06  3.039036E+05  7.252020E+05  3.207688E+04  6.911409E+04  1.097889E+05  4.027797E+05  2.678585E+04  1.653447E+04  9.302294E+05  1.058206E+04
1.462274E-02  6.859761E+06  3.744479E+06  3.028028E+05  6.909204E+05  4.233423E+04  6.527873E+04  9.662545E+04  3.774533E+05  2.682245E+04  1.680443E+04  9.294140E+05  1.163383E+04
1.496335E-02  6.735194E+06  3.651980E+06  3.028579E+05  6.609819E+05  4.105478E+04  6.379281E+04  1.070582E+05  3.808620E+05  2.115900E+04  1.736933E+04  9.079422E+05  1.389546E+04
1.531189E-02  6.588363E+06  3.538915E+06  3.030622E+05  6.604411E+05  3.795993E+04  6.172347E+04  1.030782E+05  3.765132E+05  2.746694E+04  1.604810E+04  8.851146E+05  1.018437E+04
1.566855E-02  6.355456E+06  3.553663E+06  2.886239E+05  6.580745E+05  3.860382E+04  6.393758E+04  1.073669E+05  3.751809E+05  2.292102E+04  1.568280E+04  8.740147E+05  1.025414E+04
1.603352E-02  6.267670E+06  3.382290E+06  2.708544E+05  6.336637E+05  3.065164E+04  5.246146E+04  9.814418E+04  3.548516E+05  2.564127E+04  1.532582E+04  8.438042E+05  9.726000E+03
1.640699E-02  6.141994E+06  3.297811E+06  2.684332E+05  6.307604E+05  2.995392E+04  5.645162E+04  9.792628E+04  3.608871E+05  2.707374E+04  1.180876E+04  8.349655E+05  9.216591E+03
1.678915E-02  5.947018E+06  3.290577E+06  2.727370E+05  6.209060E+05  3.152379E+04  6.051441E+04  9.879329E+04  3.281851E+05  2.364284E+04  1.519897E+04  8.336915E+05  1.069557E+04
1.718022E-02  5.804771E+06  3.266009E+06  2.698294E+05  6.056722E+05  3.493205E+04  5.556121E+04  9.681954E+04  3.550967E+05  2.778061E+04  1.540311E+04  7.971108E+05  9.351887E+03
1.758040E-02  5.661618E+06  3.117478E+06  2.588491E+05  5.889287E+05  3.548087E+04  5.859720E+04  9.972275E+04  3.351867E+05  2.580427E+04  1.263334E+04  7.617635E+05  7.795040E+03
1.798990E-02  5.502799E+06  3.052820E+06  2.555837E+05  5.705322E+05  3.230914E+04  4.780703E+04  8.615772E+04  2.999760E+05  2.048873E+04  1.103239E+04  7.743687E+05  1.182042E+04
1.840894E-02  5.436580E+06  3.075227E+06  2.551566E+05  5.639627E+05  3.157370E+04  5.441971E+04  9.241082E+04  3.111164E+05  2.207592E+04  1.232144E+04  7.685500E+05  1.078126E+04
1.883774E-02  5.310571E+06  2.956310E+06  2.353007E+05  5.315588E+05  3.737719E+04  5.117413E+04  8.754791E+04  3.220960E+05  2.157341E+04  1.128841E+04  7.523099E+05  1.003414E+04
1.927653E-02  5.263230E+06  2.893428E+06  2.282286E+05  5.476505E+05  3.137836E+04  4.706755E+04  8.285849E+04  3.213831E+05  2.059205E+04  1.152174E+04  7.290567E+05  1.103146E+04
1.972553E-02  5.097668E+06  2.860626E+06  2.273456E+05  5.486000E+05  2.874760E+04  5.198524E+04  8.456586E+04  2.790913E+05  2.180026E+04  1.149904E+04  7.150965E+05  8.384717E+03
2.018500E-02  4.997785E+06  2.739558E+06  2.191271E+05  5.183200E+05  3.113666E+04  5.150424E+04  8.100213E+04  2.821028E+05  1.849471E+04  1.076907E+04  6.978825E+05  8.896188E+03
