# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  S32  S34  Ca40  Ca44
5.188344E-02  2.057940E+06  1.674951E+05  5.646925E+03  0.000000E+00  1.830697E+04  1.001874E+03
5.309196E-02  2.025603E+06  1.692008E+05  5.340373E+03  0.000000E+00  1.771224E+04  6.230435E+02
5.432863E-02  1.987410E+06  1.639577E+05  5.653712E+03  0.000000E+00  1.965752E+04  4.349009E+02
5.559411E-02  1.938261E+06  1.578455E+05  5.440018E+03  0.000000E+00  1.861506E+04  6.800022E+02
5.688906E-02  1.912748E+06  1.591534E+05  5.897646E+03  0.000000E+00  1.619776E+04  9.967852E+02
5.821418E-02  1.845992E+06  1.591023E+05  5.925748E+03  0.000000E+00  1.371851E+04  4.058732E+02
5.957016E-02  1.830230E+06  1.545287E+05  7.298072E+03  0.000000E+00  1.515143E+04  8.725956E+02
6.095773E-02  1.780119E+06  1.491507E+05  4.496228E+03  0.000000E+00  1.713218E+04  4.651270E+02
6.237762E-02  1.736795E+06  1.480284E+05  5.227204E+03  0.000000E+00  1.568161E+04  6.818092E+02
6.383058E-02  1.697557E+06  1.388103E+05  4.886122E+03  0.000000E+00  1.502853E+04  9.624179E+02
6.531738E-02  1.638659E+06  1.407872E+05  4.413165E+03  0.000000E+00  1.808674E+04  3.617348E+02
6.683882E-02  1.602278E+06  1.404812E+05  5.161111E+03  0.000000E+00  1.689734E+04  9.191020E+02
6.839570E-02  1.570227E+06  1.374907E+05  4.905448E+03  0.000000E+00  1.547634E+04  8.290898E+02
6.998884E-02  1.542789E+06  1.328757E+05  4.996341E+03  0.000000E+00  1.471895E+04  8.777356E+02
7.161909E-02  1.516578E+06  1.309727E+05  6.400178E+03  0.000000E+00  1.570353E+04  2.639249E+02
7.328731E-02  1.478768E+06  1.281849E+05  3.933238E+03  0.000000E+00  1.502368E+04  4.513551E+02
7.499439E-02  1.441957E+06  1.218644E+05  4.284787E+03  0.000000E+00  1.392556E+04  5.040926E+02
7.674123E-02  1.409811E+06  1.252481E+05  4.803026E+03  0.000000E+00  1.379331E+04  4.310408E+02
7.852877E-02  1.370379E+06  1.219157E+05  4.934398E+03  0.000000E+00  1.492355E+04  2.407023E+02
8.035794E-02  1.321955E+06  1.197287E+05  5.116107E+03  0.000000E+00  1.452504E+04  2.940291E+02
8.222971E-02  1.297898E+06  1.161413E+05  4.597379E+03  0.000000E+00  1.390707E+04  5.746724E+02
8.414509E-02  1.285033E+06  1.123183E+05  4.773526E+03  0.000000E+00  1.375899E+04  3.931139E+02
8.610508E-02  1.258581E+06  1.084993E+05  4.500225E+03  0.000000E+00  1.267746E+04  6.036887E+02
8.811073E-02  1.227036E+06  1.083894E+05  3.110630E+03  0.000000E+00  1.265705E+04  2.681577E+02
9.016309E-02  1.181391E+06  1.046118E+05  3.930806E+03  0.000000E+00  1.352197E+04  4.716967E+02
9.226326E-02  1.168942E+06  1.047403E+05  5.019338E+03  0.000000E+00  1.244591E+04  4.609596E+02
9.441234E-02  1.128820E+06  1.039577E+05  3.853994E+03  0.000000E+00  1.236281E+04  6.006225E+02
9.661149E-02  1.118972E+06  9.963487E+04  4.597780E+03  0.000000E+00  1.193466E+04  4.402130E+02
9.886186E-02  1.090681E+06  1.007606E+05  3.059147E+03  0.000000E+00  1.204539E+04  5.735900E+02
1.011646E-01  1.061604E+06  9.921443E+04  3.082934E+03  0.000000E+00  1.177120E+04  3.269779E+02
1.035211E-01  1.054694E+06  9.038275E+04  4.564785E+03  0.000000E+00  1.086419E+04  2.738871E+02
1.059324E-01  1.022522E+06  9.390148E+04  3.434876E+03  0.000000E+00  1.298115E+04  3.568702E+02
1.083999E-01  9.906591E+05  8.718672E+04  3.705436E+03  0.000000E+00  1.107271E+04  3.923402E+02
1.109248E-01  9.791426E+05  9.120886E+04  4.387909E+03  0.000000E+00  1.286552E+04  3.408084E+02
1.135086E-01  9.583533E+05  8.759233E+04  3.455401E+03  0.000000E+00  9.325419E+03  4.163134E+02
1.161526E-01  9.285239E+05  8.612737E+04  2.969909E+03  0.000000E+00  1.061844E+04  4.475206E+02
1.188581E-01  9.139878E+05  8.694991E+04  3.697458E+03  0.000000E+00  9.502070E+03  2.385457E+02
1.216267E-01  8.886372E+05  8.178477E+04  3.768704E+03  0.000000E+00  9.324629E+03  1.942631E+02
1.244597E-01  8.607018E+05  8.110014E+04  2.809649E+03  0.000000E+00  9.871740E+03  4.176505E+02
1.273587E-01  8.486419E+05  7.977353E+04  3.116733E+03  0.000000E+00  9.832551E+03  3.710397E+02
1.303253E-01  8.296871E+05  7.581836E+04  3.372122E+03  0.000000E+00  9.717513E+03  3.263344E+02
1.333610E-01  8.121121E+05  7.763592E+04  3.118193E+03  0.000000E+00  9.248277E+03  2.126041E+02
1.364674E-01  7.781131E+05  7.739232E+04  3.116469E+03  0.000000E+00  9.072388E+03  4.501567E+02
1.396461E-01  7.662214E+05  7.173915E+04  3.011691E+03  0.000000E+00  1.011793E+04  3.383922E+02
1.428989E-01  7.516240E+05  7.347920E+04  2.810860E+03  0.000000E+00  8.796339E+03  2.976205E+02
1.462274E-01  7.374558E+05  7.413337E+04  3.393201E+03  0.000000E+00  9.436332E+03  4.201107E+02
1.496335E-01  7.214272E+05  6.995102E+04  2.810673E+03  0.000000E+00  8.779406E+03  3.473866E+02
1.531189E-01  7.183377E+05  6.737117E+04  2.715833E+03  0.000000E+00  8.703009E+03  2.468939E+02
1.566855E-01  6.863036E+05  6.728526E+04  2.684172E+03  0.000000E+00  8.595382E+03  1.809554E+02
1.603352E-01  6.706519E+05  6.737466E+04  2.682018E+03  0.000000E+00  8.900764E+03  2.947273E+02
1.640699E-01  6.556164E+05  6.451614E+04  2.937788E+03  0.000000E+00  9.274195E+03  4.032259E+02
1.678915E-01  6.487145E+05  6.330089E+04  3.349402E+03  0.000000E+00  8.359432E+03  4.784860E+02
1.718022E-01  6.285843E+05  6.430798E+04  2.365477E+03  0.000000E+00  8.856787E+03  2.750555E+02
1.758040E-01  6.089270E+05  6.104323E+04  2.526668E+03  0.000000E+00  7.956316E+03  2.150356E+02
1.798990E-01  6.006086E+05  5.970625E+04  2.626760E+03  0.000000E+00  8.510701E+03  2.364084E+02
1.840894E-01  5.879639E+05  5.886056E+04  2.797994E+03  0.000000E+00  7.213178E+03  3.337058E+02
1.883774E-01  5.740032E+05  5.932688E+04  2.709219E+03  0.000000E+00  7.525608E+03  2.508536E+02
1.927653E-01  5.531172E+05  5.743712E+04  2.426920E+03  0.000000E+00  7.378819E+03  1.961148E+02
1.972553E-01  5.482407E+05  5.775872E+04  2.611240E+03  0.000000E+00  7.330638E+03  1.437380E+02
2.018500E-01  5.345672E+05  5.548412E+04  2.270869E+03  0.000000E+00  7.468115E+03  2.575212E+02
2.065517E-01  5.202942E+05  5.380934E+04  2.356446E+03  0.000000E+00  7.687048E+03  2.059031E+02
2.113629E-01  5.097029E+05  5.406007E+04  2.191020E+03  0.000000E+00  7.020208E+03  2.012162E+02
2.162862E-01  4.975544E+05  5.269843E+04  2.119298E+03  0.000000E+00  6.882257E+03  3.932718E+02
2.213241E-01  4.828339E+05  5.073022E+04  1.964302E+03  0.000000E+00  6.191820E+03  2.989155E+02
2.264794E-01  4.772682E+05  4.980498E+04  2.336890E+03  0.000000E+00  6.614235E+03  2.921113E+02
2.317548E-01  4.629787E+05  4.846738E+04  2.059405E+03  0.000000E+00  6.606407E+03  1.835113E+02
2.371531E-01  4.577204E+05  5.208659E+04  2.311417E+03  0.000000E+00  6.754917E+03  1.394821E+02
2.426771E-01  4.399603E+05  4.868110E+04  1.908299E+03  0.000000E+00  6.679046E+03  1.363071E+02
2.483298E-01  4.300217E+05  4.631705E+04  2.074182E+03  0.000000E+00  6.546042E+03  3.615546E+02
2.541141E-01  4.262955E+05  4.691779E+04  1.915392E+03  0.000000E+00  6.564400E+03  1.859603E+02
2.600332E-01  4.185545E+05  4.694018E+04  1.889965E+03  0.000000E+00  6.196903E+03  3.816275E+02
2.660901E-01  4.053331E+05  4.592497E+04  2.219884E+03  0.000000E+00  5.913772E+03  1.243135E+02
2.722882E-01  3.949959E+05  4.501843E+04  2.082579E+03  0.000000E+00  5.657674E+03  1.909031E+02
